Index,Time,BlockSize,Count,Throughput
1,4016.06,2M,5,50.472
2,4223.85,2M,5,50.553
3,4431.31,2M,5,51.763
4,4633.93,2M,5,50.558
5,4841.38,2M,5,50.516
6,5049.00,2M,5,50.480
7,5256.76,2M,5,50.545
8,5464.26,2M,5,50.494
9,5671.96,2M,5,50.453
10,5879.84,2M,5,50.514
