Index,Time,Dirty
163,4186.10,244
164,4187.15,244
165,4188.20,244
166,4189.27,244
167,4190.32,244
168,4191.36,244
169,4192.41,244
170,4193.46,232
171,4194.50,244
172,4195.55,244
173,4196.60,244
174,4197.65,244
175,4198.70,244
176,4199.75,244
177,4200.79,244
178,4201.84,244
179,4202.89,244
180,4203.94,244
181,4205.00,244
182,4206.05,244
183,4207.10,244
184,4208.15,244
185,4209.19,244
186,4210.24,244
187,4211.29,244
188,4212.34,244
189,4213.39,244
190,4214.43,232
191,4215.48,256
192,4216.53,256
193,4217.57,256
194,4218.62,256
195,4219.68,252
196,4220.72,252
197,4221.77,252
198,4222.82,252
199,4223.88,0
200,4224.95,244
201,4226.00,244
202,4227.07,244
203,4228.12,244
204,4229.17,244
205,4230.22,244
206,4231.27,244
207,4232.32,244
208,4233.36,244
209,4234.41,244
210,4235.46,244
211,4236.51,244
212,4237.55,244
213,4238.60,244
214,4239.65,244
215,4240.70,244
216,4241.74,244
217,4242.79,244
218,4243.84,244
219,4244.89,244
220,4245.94,244
221,4247.00,244
222,4248.05,244
223,4249.09,216
224,4250.14,244
225,4251.20,244
226,4252.24,244
227,4253.29,244
228,4254.34,244
229,4255.39,244
230,4256.44,244
231,4257.48,244
232,4258.53,244
233,4259.58,244
234,4260.63,244
235,4261.68,244
236,4262.73,244
237,4263.77,244
238,4264.82,244
239,4265.87,244
240,4266.92,244
241,4267.96,244
242,4269.02,244
243,4270.07,244
244,4271.12,244
245,4272.17,244
246,4273.22,244
247,4274.27,216
248,4275.32,244
249,4276.37,244
250,4277.42,244
251,4278.47,244
252,4279.52,216
253,4280.57,244
254,4281.61,244
255,4282.66,244
256,4283.71,244
257,4284.76,244
258,4285.81,244
259,4286.85,244
260,4287.90,244
261,4288.95,244
262,4290.01,244
263,4291.06,244
264,4292.10,244
265,4293.15,244
266,4294.20,244
267,4295.25,244
268,4296.30,244
269,4297.34,244
270,4298.39,244
271,4299.44,244
272,4300.48,256
273,4301.54,256
274,4302.58,256
275,4303.63,256
276,4304.68,4
277,4305.73,244
278,4306.78,244
279,4307.82,244
280,4308.87,244
281,4309.92,244
282,4310.97,244
283,4312.02,244
284,4313.08,244
285,4314.12,244
286,4315.17,244
287,4316.22,244
288,4317.27,244
289,4318.32,244
290,4319.36,244
291,4320.41,244
292,4321.46,244
293,4322.51,244
294,4323.56,244
295,4324.60,244
296,4325.66,244
297,4326.71,244
298,4327.76,244
299,4328.81,244
300,4329.85,244
301,4330.91,244
302,4331.96,244
303,4333.02,244
304,4334.07,244
305,4335.11,228
306,4336.16,244
307,4337.21,244
308,4338.26,244
309,4339.31,244
310,4340.36,244
311,4341.40,244
312,4342.45,244
313,4343.50,244
314,4344.55,244
315,4345.60,244
316,4346.65,244
317,4347.69,244
318,4348.74,244
319,4349.79,244
320,4350.85,244
321,4351.89,244
322,4352.94,244
323,4353.99,244
324,4355.06,244
325,4356.11,244
326,4357.15,244
327,4358.20,244
328,4359.25,244
329,4360.30,244
330,4361.35,244
331,4362.40,244
332,4363.45,244
333,4364.50,244
334,4365.55,216
335,4366.60,244
336,4367.65,244
337,4368.69,244
338,4369.74,244
339,4370.79,244
340,4371.84,244
341,4372.89,244
342,4373.93,244
343,4375.00,244
344,4376.05,244
345,4377.10,244
346,4378.15,244
347,4379.19,244
348,4380.24,244
349,4381.29,236
350,4382.34,256
351,4383.39,256
352,4384.43,256
353,4385.48,256
354,4386.53,244
355,4387.58,244
356,4388.63,244
357,4389.67,244
358,4390.72,0
359,4391.77,244
360,4392.82,244
361,4393.87,244
362,4394.91,244
363,4395.96,228
364,4397.02,256
365,4398.06,256
366,4399.11,256
367,4400.17,256
368,4401.21,244
369,4402.27,244
370,4403.31,244
371,4404.36,244
372,4405.41,244
373,4406.46,244
374,4407.51,244
375,4408.55,244
376,4409.60,244
377,4410.65,244
378,4411.72,244
379,4412.81,244
380,4413.86,244
381,4414.90,244
382,4415.95,244
383,4417.02,244
384,4418.06,244
385,4419.11,244
386,4420.16,244
387,4421.21,216
388,4422.26,244
389,4423.31,244
390,4424.36,244
391,4425.41,244
392,4426.46,240
393,4427.51,244
394,4428.55,244
395,4429.60,244
396,4430.65,244
397,4431.70,244
398,4432.75,244
399,4433.79,244
400,4434.84,244
401,4435.89,244
402,4436.94,244
403,4437.99,244
404,4439.04,244
405,4440.09,244
406,4441.14,244
407,4442.19,244
408,4443.23,244
409,4444.28,244
410,4445.33,244
411,4446.38,20
412,4447.43,244
413,4448.48,244
414,4449.53,244
415,4450.58,244
416,4451.63,216
417,4452.68,244
418,4453.73,244
419,4454.78,244
420,4455.82,244
421,4456.87,236
422,4457.92,256
423,4458.97,256
424,4460.03,256
425,4461.08,256
426,4462.12,244
427,4463.17,244
428,4464.22,244
429,4465.27,244
430,4466.32,244
431,4467.37,224
432,4468.41,260
433,4469.46,260
434,4470.51,260
435,4471.56,260
436,4472.60,260
437,4473.66,260
438,4474.71,260
439,4475.76,260
440,4476.80,260
441,4477.86,260
442,4478.91,260
443,4479.96,260
444,4481.02,260
445,4482.06,232
446,4483.11,260
447,4484.16,260
448,4485.21,260
449,4486.26,260
450,4487.31,244
451,4488.35,260
452,4489.40,260
453,4490.45,260
454,4491.50,260
455,4492.54,232
456,4493.59,256
457,4494.64,256
458,4495.69,256
459,4496.74,256
460,4497.80,244
461,4498.84,244
462,4499.89,244
463,4500.94,244
464,4501.99,244
465,4503.05,244
466,4504.10,244
467,4505.15,244
468,4506.19,244
469,4507.24,228
470,4508.29,244
471,4509.34,244
472,4510.38,244
473,4511.43,244
474,4512.48,216
475,4513.53,244
476,4514.58,244
477,4515.62,244
478,4516.67,244
479,4517.72,244
480,4518.76,244
481,4519.81,244
482,4520.86,244
483,4521.91,244
484,4522.97,244
485,4524.04,244
486,4525.08,244
487,4526.13,244
488,4527.18,244
489,4528.23,244
490,4529.27,244
491,4530.32,244
492,4531.37,244
493,4532.42,20
494,4533.48,244
495,4534.57,244
496,4535.62,244
497,4536.67,244
498,4537.72,216
499,4538.76,244
500,4539.81,244
501,4540.86,244
502,4541.91,244
503,4542.96,232
504,4544.02,256
505,4545.07,256
506,4546.12,256
507,4547.17,256
508,4548.22,244
509,4549.26,244
510,4550.31,244
511,4551.36,244
512,4552.41,244
513,4553.45,252
514,4554.50,280
515,4555.55,280
516,4556.60,280
517,4557.65,280
518,4558.69,260
519,4559.74,260
520,4560.79,260
521,4561.84,260
522,4562.89,232
523,4563.94,260
524,4565.01,260
525,4566.05,260
526,4567.10,260
527,4568.15,236
528,4569.20,260
529,4570.24,260
530,4571.29,260
531,4572.34,260
532,4573.39,232
533,4574.44,260
534,4575.53,260
535,4576.64,260
536,4577.69,260
537,4578.74,260
538,4579.78,260
539,4580.83,260
540,4581.88,260
541,4582.93,260
542,4583.98,260
543,4585.03,260
544,4586.08,260
545,4587.13,260
546,4588.18,260
547,4589.23,260
548,4590.28,260
549,4591.32,260
550,4592.37,260
551,4593.43,228
552,4594.49,260
553,4595.53,260
554,4596.58,260
555,4597.63,260
556,4598.68,244
557,4599.73,260
558,4600.77,260
559,4601.82,260
560,4602.87,260
561,4603.91,248
562,4604.96,276
563,4606.02,276
564,4607.07,276
565,4608.11,276
566,4609.16,260
567,4610.21,260
568,4611.26,260
569,4612.31,260
570,4613.36,260
571,4614.40,264
572,4615.45,264
573,4616.50,264
574,4617.55,264
575,4618.60,236
576,4619.65,260
577,4620.70,260
578,4621.75,260
579,4622.79,260
580,4623.84,248
581,4624.89,260
582,4625.94,260
583,4626.98,260
584,4628.04,260
585,4629.09,224
586,4630.14,280
587,4631.18,280
588,4632.23,280
589,4633.28,280
590,4634.33,248
591,4635.38,260
592,4636.43,260
593,4637.47,260
594,4638.52,260
595,4639.57,260
596,4640.61,260
597,4641.66,260
598,4642.71,260
599,4643.76,260
600,4644.81,260
601,4645.88,260
602,4646.92,260
603,4647.97,260
604,4649.03,8
605,4650.08,260
606,4651.12,260
607,4652.17,260
608,4653.22,260
609,4654.27,232
610,4655.32,260
611,4656.37,260
612,4657.41,260
613,4658.46,260
614,4659.51,244
615,4660.55,244
616,4661.60,244
617,4662.65,244
618,4663.70,244
619,4664.75,244
620,4665.79,244
621,4666.84,244
622,4667.89,244
623,4668.94,244
624,4669.99,244
625,4671.05,244
626,4672.09,244
627,4673.14,244
628,4674.19,244
629,4675.24,244
630,4676.28,244
631,4677.33,244
632,4678.38,244
633,4679.43,0
634,4680.48,240
635,4681.53,244
636,4682.58,244
637,4683.63,244
638,4684.67,216
639,4685.72,244
640,4686.77,244
641,4687.82,244
642,4688.87,244
643,4689.91,244
644,4690.96,244
645,4692.02,244
646,4693.09,244
647,4694.14,244
648,4695.19,244
649,4696.24,244
650,4697.29,244
651,4698.33,244
652,4699.38,244
653,4700.43,244
654,4701.48,244
655,4702.52,244
656,4703.57,244
657,4704.62,244
658,4705.67,244
659,4706.72,244
660,4707.77,244
661,4708.81,244
662,4709.86,228
663,4710.91,244
664,4711.96,244
665,4713.02,244
666,4714.06,244
667,4715.11,216
668,4716.16,244
669,4717.21,244
670,4718.26,244
671,4719.31,244
672,4720.36,244
673,4721.40,244
674,4722.45,244
675,4723.50,244
676,4724.55,244
677,4725.60,244
678,4726.65,244
679,4727.70,244
680,4728.75,244
681,4729.79,244
682,4730.84,244
683,4731.89,244
684,4732.94,244
685,4733.99,244
686,4735.04,244
687,4736.10,244
688,4737.15,244
689,4738.20,244
690,4739.25,244
691,4740.30,232
692,4741.35,244
693,4742.40,244
694,4743.45,244
695,4744.50,244
696,4745.54,244
697,4746.59,244
698,4747.64,244
699,4748.69,244
700,4749.74,244
701,4750.79,244
702,4751.83,244
703,4752.88,244
704,4753.93,244
705,4754.98,244
706,4756.04,244
707,4757.08,244
708,4758.13,244
709,4759.18,244
710,4760.23,244
711,4761.28,244
712,4762.33,244
713,4763.37,244
714,4764.42,244
715,4765.47,244
716,4766.52,236
717,4767.58,256
718,4768.62,256
719,4769.67,256
720,4770.72,228
721,4771.77,244
722,4772.82,244
723,4773.88,244
724,4774.93,244
725,4775.98,244
726,4777.03,244
727,4778.08,244
728,4779.13,244
729,4780.18,244
730,4781.22,244
731,4782.27,244
732,4783.32,244
733,4784.37,244
734,4785.42,244
735,4786.46,244
736,4787.51,244
737,4788.56,244
738,4789.61,244
739,4790.66,20
740,4791.71,244
741,4792.76,244
742,4793.81,244
743,4794.86,244
744,4795.91,224
745,4796.96,252
746,4798.02,252
747,4799.06,252
748,4800.11,252
749,4801.16,236
750,4802.21,256
751,4803.26,256
752,4804.30,256
753,4805.35,256
754,4806.40,244
755,4807.45,244
756,4808.50,244
757,4809.54,244
758,4810.59,244
759,4811.64,244
760,4812.69,244
761,4813.73,244
762,4814.78,244
763,4815.84,244
764,4816.89,244
765,4817.94,244
766,4818.98,244
767,4820.04,244
768,4821.09,228
769,4822.14,244
770,4823.19,244
771,4824.23,244
772,4825.28,244
773,4826.33,216
774,4827.38,244
775,4828.43,244
776,4829.47,244
777,4830.52,244
778,4831.57,244
779,4832.62,244
780,4833.67,244
781,4834.71,244
782,4835.76,244
783,4836.81,244
784,4837.86,244
785,4838.90,244
786,4839.95,244
787,4841.00,244
788,4842.06,244
789,4843.11,244
790,4844.15,244
791,4845.20,244
792,4846.25,20
793,4847.31,244
794,4848.36,244
795,4849.41,244
796,4850.45,244
797,4851.50,236
798,4852.55,244
799,4853.60,244
800,4854.65,244
801,4855.70,244
802,4856.75,244
803,4857.79,244
804,4858.84,244
805,4859.89,244
806,4860.94,244
807,4862.00,244
808,4863.04,244
809,4864.09,244
810,4865.14,244
811,4866.19,244
812,4867.24,244
813,4868.29,244
814,4869.33,244
815,4870.38,244
816,4871.43,244
817,4872.48,256
818,4873.52,256
819,4874.57,256
820,4875.62,256
821,4876.67,4
822,4877.72,244
823,4878.76,244
824,4879.81,244
825,4880.86,244
826,4881.91,228
827,4882.95,244
828,4884.01,244
829,4885.06,244
830,4886.11,244
831,4887.16,232
832,4888.20,256
833,4889.25,256
834,4890.30,256
835,4891.35,256
836,4892.40,244
837,4893.45,244
838,4894.50,244
839,4895.55,244
840,4896.59,244
841,4897.64,244
842,4898.69,244
843,4899.74,244
844,4900.79,244
845,4901.83,244
846,4902.90,244
847,4903.95,244
848,4905.00,244
849,4906.05,244
850,4907.10,224
851,4908.14,244
852,4909.19,244
853,4910.24,244
854,4911.28,244
855,4912.33,216
856,4913.38,244
857,4914.43,244
858,4915.47,244
859,4916.53,244
860,4917.58,244
861,4918.62,244
862,4919.67,244
863,4920.72,244
864,4921.77,244
865,4922.82,244
866,4923.86,244
867,4924.91,244
868,4925.96,244
869,4927.02,244
870,4928.06,244
871,4929.11,244
872,4930.16,244
873,4931.21,244
874,4932.26,20
875,4933.33,244
876,4934.38,244
877,4935.43,244
878,4936.48,244
879,4937.52,216
880,4938.57,244
881,4939.62,244
882,4940.67,244
883,4941.72,244
884,4942.77,244
885,4943.81,244
886,4944.86,244
887,4945.91,244
888,4946.96,244
889,4948.01,244
890,4949.06,244
891,4950.11,244
892,4951.16,244
893,4952.20,244
894,4953.25,240
895,4954.30,244
896,4955.35,244
897,4956.39,244
898,4957.44,244
899,4958.49,244
900,4959.53,244
901,4960.58,244
902,4961.63,244
903,4962.68,20
904,4963.72,244
905,4964.78,244
906,4965.83,244
907,4966.88,244
908,4967.93,216
909,4968.97,244
910,4970.03,244
911,4971.08,244
912,4972.13,244
913,4973.18,244
914,4974.22,244
915,4975.27,244
916,4976.32,244
917,4977.37,244
918,4978.42,244
919,4979.46,244
920,4980.51,244
921,4981.56,244
922,4982.61,244
923,4983.66,244
924,4984.70,244
925,4985.75,244
926,4986.80,244
927,4987.85,244
928,4988.90,244
929,4989.96,244
930,4991.02,244
931,4992.07,244
932,4993.12,20
933,4994.17,244
934,4995.22,244
935,4996.26,244
936,4997.31,244
937,4998.36,232
938,4999.41,244
939,5000.45,244
940,5001.50,244
941,5002.55,244
942,5003.60,244
943,5004.65,244
944,5005.70,244
945,5006.74,244
946,5007.79,244
947,5008.84,244
948,5009.89,244
949,5010.94,244
950,5012.00,244
951,5013.04,244
952,5014.09,244
953,5015.14,244
954,5016.19,244
955,5017.24,244
956,5018.29,244
957,5019.33,244
958,5020.38,244
959,5021.43,244
960,5022.47,244
961,5023.52,244
962,5024.58,244
963,5025.63,244
964,5026.67,244
965,5027.72,244
966,5028.77,224
967,5029.82,244
968,5030.87,244
969,5031.92,244
970,5032.97,244
971,5034.03,244
972,5035.08,244
973,5036.12,244
974,5037.17,244
975,5038.22,244
976,5039.27,244
977,5040.32,244
978,5041.37,244
979,5042.42,244
980,5043.47,244
981,5044.51,244
982,5045.56,244
983,5046.61,244
984,5047.66,244
985,5048.71,244
986,5049.75,244
987,5050.80,244
988,5051.85,244
989,5052.90,244
990,5053.95,244
991,5055.01,244
992,5056.05,244
993,5057.10,244
994,5058.15,244
995,5059.20,216
996,5060.25,244
997,5061.30,244
998,5062.34,244
999,5063.39,244
1000,5064.45,240
1001,5065.50,244
1002,5066.55,244
1003,5067.59,244
1004,5068.64,244
1005,5069.69,244
1006,5070.74,244
1007,5071.78,244
1008,5072.83,244
1009,5073.88,244
1010,5074.93,244
1011,5075.97,244
1012,5077.03,244
1013,5078.08,244
1014,5079.13,244
1015,5080.18,244
1016,5081.22,244
1017,5082.27,244
1018,5083.32,244
1019,5084.36,20
1020,5085.41,244
1021,5086.46,244
1022,5087.51,244
1023,5088.56,244
1024,5089.62,228
1025,5090.67,240
1026,5091.71,244
1027,5092.76,244
1028,5093.81,244
1029,5094.86,244
1030,5095.91,244
1031,5096.96,244
1032,5098.02,244
1033,5099.06,244
1034,5100.11,244
1035,5101.16,244
1036,5102.20,244
1037,5103.25,244
1038,5104.30,244
1039,5105.35,244
1040,5106.40,244
1041,5107.44,244
1042,5108.49,244
1043,5109.54,244
1044,5110.59,244
1045,5111.63,244
1046,5112.68,244
1047,5113.73,244
1048,5114.79,244
1049,5115.83,244
1050,5116.88,244
1051,5117.95,244
1052,5119.00,244
1053,5120.05,240
1054,5121.10,244
1055,5122.15,244
1056,5123.20,244
1057,5124.25,244
1058,5125.29,244
1059,5126.34,244
1060,5127.39,244
1061,5128.44,244
1062,5129.48,244
1063,5130.53,244
1064,5131.58,244
1065,5132.63,244
1066,5133.67,244
1067,5134.72,244
1068,5135.77,244
1069,5136.82,244
1070,5137.87,244
1071,5138.91,244
1072,5139.97,20
1073,5141.03,244
1074,5142.08,244
1075,5143.12,244
1076,5144.17,244
1077,5145.22,224
1078,5146.27,244
1079,5147.32,244
1080,5148.38,244
1081,5149.43,244
1082,5150.48,244
1083,5151.52,244
1084,5152.57,244
1085,5153.62,244
1086,5154.67,244
1087,5155.72,244
1088,5156.77,244
1089,5157.81,244
1090,5158.86,244
1091,5159.91,244
1092,5160.96,244
1093,5162.01,244
1094,5163.06,244
1095,5164.11,244
1096,5165.16,244
1097,5166.21,244
1098,5167.26,244
1099,5168.30,244
1100,5169.35,244
1101,5170.40,20
1102,5171.45,244
1103,5172.50,244
1104,5173.56,244
1105,5174.60,244
1106,5175.65,228
1107,5176.70,232
1108,5177.75,256
1109,5178.79,256
1110,5179.84,256
1111,5180.89,228
1112,5181.94,256
1113,5182.99,256
1114,5184.05,256
1115,5185.09,256
1116,5186.14,244
1117,5187.19,244
1118,5188.24,244
1119,5189.29,244
1120,5190.34,244
1121,5191.39,256
1122,5192.43,256
1123,5193.48,256
1124,5194.53,256
1125,5195.58,256
1126,5196.63,244
1127,5197.67,244
1128,5198.72,244
1129,5199.77,244
1130,5200.82,244
1131,5201.87,244
1132,5202.92,244
1133,5203.96,244
1134,5205.02,244
1135,5206.07,216
1136,5207.12,244
1137,5208.17,244
1138,5209.21,244
1139,5210.26,244
1140,5211.31,244
1141,5212.36,244
1142,5213.42,244
1143,5214.46,244
1144,5215.51,244
1145,5216.56,244
1146,5217.61,244
1147,5218.65,244
1148,5219.70,244
1149,5220.75,244
1150,5221.80,244
1151,5222.85,244
1152,5223.89,244
1153,5224.94,244
1154,5226.00,244
1155,5227.05,244
1156,5228.10,244
1157,5229.15,244
1158,5230.20,244
1159,5231.24,188
1160,5232.30,244
1161,5233.35,244
1162,5234.39,244
1163,5235.44,244
1164,5236.49,232
1165,5237.54,244
1166,5238.59,244
1167,5239.64,244
1168,5240.69,244
1169,5241.73,216
1170,5242.78,244
1171,5243.83,244
1172,5244.87,244
1173,5245.94,244
1174,5246.98,244
1175,5248.04,244
1176,5249.09,244
1177,5250.13,244
1178,5251.18,244
1179,5252.23,236
1180,5253.28,256
1181,5254.33,256
1182,5255.38,256
1183,5256.42,256
1184,5257.47,244
1185,5258.52,244
1186,5259.57,244
1187,5260.61,244
1188,5261.66,244
1189,5262.73,252
1190,5263.78,252
1191,5264.82,252
1192,5265.87,252
1193,5266.92,228
1194,5267.97,244
1195,5269.02,244
1196,5270.07,244
1197,5271.12,244
1198,5272.17,244
1199,5273.21,244
1200,5274.26,244
1201,5275.31,244
1202,5276.36,244
1203,5277.40,244
1204,5278.45,244
1205,5279.50,244
1206,5280.55,244
1207,5281.60,244
1208,5282.64,244
1209,5283.69,244
1210,5284.74,244
1211,5285.79,244
1212,5286.83,244
1213,5287.89,244
1214,5288.94,244
1215,5289.98,244
1216,5291.04,244
1217,5292.09,188
1218,5293.14,244
1219,5294.19,244
1220,5295.24,244
1221,5296.28,244
1222,5297.33,216
1223,5298.38,244
1224,5299.43,244
1225,5300.47,244
1226,5301.53,244
1227,5302.57,244
1228,5303.62,244
1229,5304.67,244
1230,5305.72,244
1231,5306.77,244
1232,5307.81,244
1233,5308.86,244
1234,5309.91,244
1235,5310.96,244
1236,5312.01,244
1237,5313.07,240
1238,5314.12,244
1239,5315.19,244
1240,5316.24,244
1241,5317.29,244
1242,5318.34,244
1243,5319.38,244
1244,5320.43,244
1245,5321.48,244
1246,5322.53,8
1247,5323.58,236
1248,5324.63,256
1249,5325.67,256
1250,5326.72,256
1251,5327.77,228
1252,5328.82,256
1253,5329.86,256
1254,5330.91,256
1255,5331.96,256
1256,5333.02,244
1257,5334.06,244
1258,5335.11,244
1259,5336.16,244
1260,5337.21,244
1261,5338.26,232
1262,5339.31,256
1263,5340.35,256
1264,5341.40,256
1265,5342.45,256
1266,5343.50,244
1267,5344.55,244
1268,5345.59,244
1269,5346.64,244
1270,5347.69,244
1271,5348.74,244
1272,5349.78,244
1273,5350.83,244
1274,5351.88,244
1275,5352.93,244
1276,5354.00,244
1277,5355.04,244
1278,5356.10,244
1279,5357.14,244
1280,5358.19,232
1281,5359.24,244
1282,5360.29,244
1283,5361.34,244
1284,5362.39,244
1285,5363.44,244
1286,5364.49,244
1287,5365.53,244
1288,5366.58,244
1289,5367.63,244
1290,5368.68,244
1291,5369.73,244
1292,5370.77,244
1293,5371.82,244
1294,5372.87,244
1295,5373.93,244
1296,5374.99,244
1297,5376.04,244
1298,5377.09,244
1299,5378.13,244
1300,5379.18,244
1301,5380.23,244
1302,5381.27,244
1303,5382.32,244
1304,5383.37,224
1305,5384.42,244
1306,5385.47,244
1307,5386.52,244
1308,5387.57,244
1309,5388.62,216
1310,5389.67,244
1311,5390.72,244
1312,5391.77,244
1313,5392.81,244
1314,5393.86,240
1315,5394.91,244
1316,5395.96,244
1317,5397.01,244
1318,5398.06,244
1319,5399.11,244
1320,5400.16,244
1321,5401.20,244
1322,5402.25,244
1323,5403.30,244
1324,5404.34,244
1325,5405.39,244
1326,5406.44,244
1327,5407.49,244
1328,5408.53,244
1329,5409.58,244
1330,5410.63,244
1331,5411.68,244
1332,5412.73,244
1333,5413.78,0
1334,5414.83,244
1335,5415.87,244
1336,5416.92,244
1337,5417.98,244
1338,5419.02,240
1339,5420.07,244
1340,5421.12,244
1341,5422.17,244
1342,5423.22,244
1343,5424.27,244
1344,5425.31,244
1345,5426.36,244
1346,5427.41,244
1347,5428.46,244
1348,5429.50,244
1349,5430.55,244
1350,5431.60,244
1351,5432.65,244
1352,5433.69,244
1353,5434.74,244
1354,5435.79,244
1355,5436.84,244
1356,5437.89,244
1357,5438.94,56
1358,5440.00,244
1359,5441.05,244
1360,5442.10,244
1361,5443.15,244
1362,5444.19,216
1363,5445.24,244
1364,5446.29,244
1365,5447.34,244
1366,5448.39,244
1367,5449.45,244
1368,5450.50,244
1369,5451.54,244
1370,5452.59,244
1371,5453.64,244
1372,5454.69,244
1373,5455.73,244
1374,5456.78,244
1375,5457.83,244
1376,5458.88,244
1377,5459.93,244
1378,5461.01,244
1379,5462.06,244
1380,5463.10,244
1381,5464.15,0
1382,5465.20,244
1383,5466.25,244
1384,5467.29,244
1385,5468.34,244
1386,5469.39,236
1387,5470.43,244
1388,5471.48,244
1389,5472.53,244
1390,5473.58,244
1391,5474.63,244
1392,5475.68,244
1393,5476.72,244
1394,5477.77,244
1395,5478.82,244
1396,5479.87,244
1397,5480.92,244
1398,5481.97,244
1399,5483.02,244
1400,5484.07,244
1401,5485.12,244
1402,5486.18,244
1403,5487.23,244
1404,5488.28,244
1405,5489.33,244
1406,5490.38,244
1407,5491.43,244
1408,5492.48,244
1409,5493.52,244
1410,5494.57,228
1411,5495.62,244
1412,5496.67,244
1413,5497.71,244
1414,5498.76,244
1415,5499.81,244
1416,5500.86,244
1417,5501.90,244
1418,5502.95,244
1419,5504.01,244
1420,5505.06,244
1421,5506.11,244
1422,5507.15,244
1423,5508.20,244
1424,5509.25,244
1425,5510.30,240
1426,5511.35,244
1427,5512.40,244
1428,5513.45,244
1429,5514.49,20
1430,5515.55,244
1431,5516.60,244
1432,5517.64,244
1433,5518.69,244
1434,5519.74,232
1435,5520.79,244
1436,5521.83,244
1437,5522.88,244
1438,5523.93,244
1439,5524.99,244
1440,5526.03,244
1441,5527.08,244
1442,5528.13,244
1443,5529.18,244
1444,5530.23,244
1445,5531.27,244
1446,5532.32,244
1447,5533.37,244
1448,5534.42,244
1449,5535.48,244
1450,5536.53,244
1451,5537.57,244
1452,5538.62,244
1453,5539.67,244
1454,5540.72,244
1455,5541.76,244
1456,5542.81,244
1457,5543.86,244
1458,5544.91,20
1459,5545.95,244
1460,5547.01,244
1461,5548.06,244
1462,5549.11,244
1463,5550.15,228
1464,5551.20,244
1465,5552.25,244
1466,5553.30,244
1467,5554.35,244
1468,5555.45,244
1469,5556.49,244
1470,5557.54,244
1471,5558.59,244
1472,5559.64,244
1473,5560.69,244
1474,5561.73,244
1475,5562.78,244
1476,5563.83,244
1477,5564.88,244
1478,5565.93,244
1479,5566.98,244
1480,5568.03,244
1481,5569.08,244
1482,5570.13,244
1483,5571.17,244
1484,5572.22,244
1485,5573.27,244
1486,5574.32,244
1487,5575.36,20
1488,5576.41,244
1489,5577.46,244
1490,5578.51,244
1491,5579.56,244
1492,5580.60,224
1493,5581.65,236
1494,5582.70,256
1495,5583.75,256
1496,5584.80,256
1497,5585.85,236
