Time,Event,Value
419.874,AccDirty,67
419.874,AccPause,334
419.878,AccDirty,67
419.878,AccPause,337
419.882,AccDirty,67
419.882,AccPause,340
419.886,AccDirty,67
419.886,AccPause,343
419.890,AccDirty,67
419.890,AccPause,346
419.894,AccDirty,67
419.894,AccPause,349
419.898,AccDirty,67
419.898,AccPause,352
419.902,AccDirty,67
419.902,AccPause,355
419.906,AccDirty,67
419.906,AccPause,358
419.910,AccDirty,67
419.910,AccPause,361
419.914,AccDirty,67
419.914,AccPause,364
419.918,AccDirty,67
419.918,AccPause,367
419.922,AccDirty,67
419.922,AccPause,370
419.926,AccDirty,67
419.926,AccPause,373
419.930,AccDirty,67
419.930,AccPause,376
419.934,AccDirty,67
419.934,AccPause,379
419.938,AccDirty,67
419.938,AccPause,382
419.942,AccDirty,67
419.942,AccPause,385
419.946,AccDirty,67
419.946,AccPause,388
419.950,AccDirty,67
419.950,AccPause,391
419.954,AccDirty,67
419.954,AccPause,394
419.958,AccDirty,67
419.958,AccPause,397
419.962,AccDirty,67
419.962,AccPause,400
419.966,AccDirty,67
419.966,AccPause,403
419.970,AccDirty,67
419.970,AccPause,406
419.974,AccDirty,67
419.974,AccPause,409
419.978,AccDirty,67
419.978,AccPause,412
419.982,AccDirty,67
419.982,AccPause,415
419.986,AccDirty,67
419.986,AccPause,418
419.990,AccDirty,67
419.990,AccPause,421
419.994,AccDirty,67
419.994,AccPause,424
419.998,AccDirty,67
419.998,AccPause,427
420.002,AccDirty,67
420.002,AccPause,430
420.006,AccDirty,67
420.006,AccPause,433
420.010,AccDirty,67
420.010,AccPause,436
420.014,AccDirty,67
420.014,AccPause,439
420.018,AccDirty,67
420.018,AccPause,442
420.022,AccDirty,67
420.022,AccPause,445
420.026,AccDirty,67
420.026,AccPause,448
420.030,AccDirty,67
420.030,AccPause,451
420.034,AccDirty,67
420.034,AccPause,454
420.038,AccDirty,67
420.038,AccPause,457
420.042,AccDirty,67
420.042,AccPause,460
420.046,AccDirty,67
420.046,AccPause,463
420.050,AccDirty,67
420.050,AccPause,466
420.054,AccDirty,67
420.054,AccPause,469
420.058,AccDirty,67
420.058,AccPause,472
420.062,AccDirty,67
420.062,AccPause,475
420.066,AccDirty,67
420.066,AccPause,478
420.070,AccDirty,67
420.070,AccPause,481
420.074,AccDirty,67
420.074,AccPause,484
420.078,AccDirty,67
420.078,AccPause,487
420.082,AccDirty,67
420.082,AccPause,490
420.086,AccDirty,67
420.086,AccPause,493
420.090,AccDirty,67
420.090,AccPause,496
420.094,AccDirty,67
420.094,AccPause,499
420.098,AccDirty,67
420.098,AccPause,502
420.102,AccDirty,67
420.102,AccPause,505
420.106,AccDirty,67
420.106,AccPause,508
420.110,AccDirty,67
420.110,AccPause,511
420.115,AccDirty,67
420.116,AccPause,514
420.120,AccDirty,67
420.120,AccPause,517
420.124,AccDirty,67
420.124,AccPause,520
420.127,AccDirty,67
420.128,AccPause,523
420.131,AccDirty,67
420.132,AccPause,526
420.136,AccDirty,67
421.141,AccPause,529
421.145,AccDirty,67
421.145,AccPause,532
421.149,AccDirty,67
421.149,AccPause,535
421.153,AccDirty,67
421.153,AccPause,538
421.157,AccDirty,67
421.157,AccPause,541
421.161,AccDirty,67
421.162,AccPause,544
421.165,AccDirty,67
421.166,AccPause,547
421.169,AccDirty,67
421.170,AccPause,550
421.173,AccDirty,67
421.174,AccPause,553
421.177,AccDirty,67
421.178,AccPause,556
421.181,AccDirty,67
421.182,AccPause,559
421.185,AccDirty,67
421.186,AccPause,562
421.190,AccDirty,67
421.190,AccPause,565
421.194,AccDirty,67
421.194,AccPause,568
421.198,AccDirty,67
421.198,AccPause,571
421.202,AccDirty,67
421.202,AccPause,574
421.206,AccDirty,67
421.206,AccPause,577
421.210,AccDirty,67
421.210,AccPause,580
421.214,AccDirty,67
421.214,AccPause,583
421.218,AccDirty,67
421.218,AccPause,586
421.222,AccDirty,67
421.222,AccPause,589
421.226,AccDirty,67
421.226,AccPause,592
421.230,AccDirty,67
421.230,AccPause,595
421.234,AccDirty,67
421.234,AccPause,598
421.238,AccDirty,67
421.238,AccPause,602
421.243,AccDirty,67
421.243,AccPause,606
421.248,AccDirty,67
421.248,AccPause,610
421.253,AccDirty,67
421.253,AccPause,614
421.258,AccDirty,67
421.258,AccPause,618
421.263,AccDirty,67
421.263,AccPause,622
421.268,AccDirty,67
421.268,AccPause,626
421.273,AccDirty,67
421.273,AccPause,630
421.278,AccDirty,67
421.278,AccPause,634
421.283,AccDirty,67
421.283,AccPause,638
421.288,AccDirty,67
421.288,AccPause,642
421.293,AccDirty,67
421.293,AccPause,646
421.298,AccDirty,67
421.298,AccPause,650
421.303,AccDirty,67
421.303,AccPause,654
421.308,AccDirty,67
421.308,AccPause,658
421.313,AccDirty,67
421.313,AccPause,662
421.318,AccDirty,67
421.318,AccPause,666
421.323,AccDirty,67
421.323,AccPause,670
421.328,AccDirty,67
421.328,AccPause,674
421.333,AccDirty,67
421.333,AccPause,678
421.338,AccDirty,67
421.338,AccPause,682
421.343,AccDirty,67
421.343,AccPause,686
421.348,AccDirty,67
421.348,AccPause,690
421.353,AccDirty,67
